NIT,Razón social de la sociedad,CIIU,Departamento de la dirección del domicilio,Fecha de Corte,Activos corrientes totales (CurrentAssets),Pasivos corrientes totales (CurrentLiabilities),Total de activos (Assets),Total pasivos (Liabilities),Patrimonio total (Equity),Ganancia (pérdida) por actividades de operación (ProfitLossFromOperatingActivities),Ingresos de actividades ordinarias (Revenue),Ganancia (pérdida) (ProfitLoss),dya,cfo,capex_ppe,capex_int,anio,capital_trabajo,ebitda,fcl,tamano,ebitda_margen,margen_neto,roa,apalancamiento,razon_corriente,ebitda_wz,capital_trabajo_wz,fcl_wz,ebitda_neg,capital_trabajo_neg,fcl_neg,periodo,ciiu_2d,margen_ebitda_rel_sector,apalancamiento_rel_sector,depto_norm,semaforo,activos_calc,error_contable,error_contable_pct,inconsistente
800003267,integrafic de occidente SA,C1811 - Actividades de impresión,VALLE,2017-12-31,15629154.0,16384683.0,49114658.0,38682623.0,10432035.0,7593514.0,44780403.0,1983150.0,2316410.0,1662634.0,9328732.0,236356.0,2017,-755529.0,9909924.0,-7902454.0,Mediana,22.130046484842936,4.4286113280400805,4.037796618679499,78.75983377508197,0.9538880917012553,9909924.0,-755529.0,-7902454.0,False,True,True,Pre-pandemia (2017-2019),C1,12.853494003589475,24.336473646007775,VALLE DEL CAUCA,Alerta,49114658.0,0.0,0.0,False
800004599,COMERCIALIZADORA MARDEN LTDA,G4669 - Comercio al por mayor de otros productos n.c.p.,VALLE,2017-12-31,22976397.0,15114768.0,41555916.0,18159617.0,23396299.0,1448596.0,33631105.0,784478.0,,-183698.0,196129.0,,2017,7861629.0,1448596.0,-379827.0,Mediana,4.3073101523128665,2.332596564995411,1.8877649093332463,43.69923406332807,1.5201289890787606,1448596.0,7861629.0,-379827.0,False,False,True,Pre-pandemia (2017-2019),G4,-0.5314858748154245,-21.29431029477589,VALLE DEL CAUCA,Alerta,41555916.0,0.0,0.0,False
800005260,INDUSTRIAS INVERSIONES Y SERVICIOS DELRIO S.A.S,G4690 - Comercio al por mayor no especializado,BOGOTA D.C.,2017-12-31,32776772.0,2797913.0,39912005.0,4291240.0,35620765.0,2329912.0,51015132.0,1522908.0,612666.0,-536809.0,14090.0,,2017,29978859.0,2942578.0,-550899.0,Mediana,5.768049370135904,2.985208388758065,3.815663983806376,10.75175251155636,11.714721651459499,2942578.0,29978859.0,-550899.0,False,False,True,Pre-pandemia (2017-2019),G4,0.9292533430076126,-54.2417918465476,"BOGOTA, D.C.",Alerta,39912005.0,0.0,0.0,False
800005492,EDITORIAL TELEVISA COLOMBIA S A,"J5813 - Edición de periódicos, revistas y otras publicaciones periódicas",BOGOTA D.C.,2017-12-31,6580031.0,6816476.0,16363518.0,20040244.0,-3676726.0,-3585202.0,7460533.0,-3730786.0,187685.0,38900.0,,,2017,-236445.0,-3397517.0,38900.0,Pequeña,-45.539869604490725,-50.006963309457916,-22.799412693529593,122.46904363719342,0.9653127217054678,-3397517.0,-236445.0,38900.0,True,True,False,Pre-pandemia (2017-2019),J5,-55.15985818011985,74.55692307996557,"BOGOTA, D.C.",Alerta,16363518.0,0.0,0.0,False
800007193,SAPUGA S.A.,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,BOGOTA D.C.,2017-12-31,1646906.0,11789745.0,83725680.0,28316314.0,55409366.0,3274075.0,26384000.0,1335177.0,45302.0,2852919.0,2517607.0,,2017,-10142839.0,3319377.0,335312.0,Grande,12.581022589448152,5.060555639781686,1.5947042771106785,33.820345203526564,0.13968970490879998,3319377.0,-10142839.0,335312.0,False,True,False,Pre-pandemia (2017-2019),A0,2.1212270117566607,-6.756619874404947,"BOGOTA, D.C.",Sano,83725680.0,0.0,0.0,False
800007202,ALTALENE SA,C2229 - Fabricación de artículos de plástico n.c.p.,BOGOTA D.C.,2017-12-31,13955176.0,11707217.0,32239788.0,14210660.0,18029128.0,1956024.0,28215428.0,1381785.0,1688018.0,2137973.0,3359848.0,,2017,2247959.0,3644042.0,-1221875.0,Mediana,12.915069018269012,4.8972675516387705,4.285961805952322,44.0780193715914,1.192014805909893,3644042.0,2247959.0,-1221875.0,False,False,True,Pre-pandemia (2017-2019),C2,2.429639702678301,-5.54759221011691,"BOGOTA, D.C.",Alerta,32239788.0,0.0,0.0,False
800008151,ELECTRICOS IMPORTTADOS  SA EIMPSA,G4690 - Comercio al por mayor no especializado,BOGOTA D.C.,2017-12-31,19409009.0,16119234.0,28767293.0,16542619.0,12224674.0,1097314.0,42353563.0,77619.0,156240.0,1115831.0,98025.0,0.0,2017,3289775.0,1253554.0,1017806.0,Mediana,2.959736823086171,0.1832643926557017,0.2698168367805758,57.50495536719426,1.2040900330623652,1253554.0,3289775.0,1017806.0,False,False,False,Pre-pandemia (2017-2019),G4,-1.87905920404212,-7.488588990909697,"BOGOTA, D.C.",Sano,28767293.0,0.0,0.0,False
800010961,NORCARBON SOCIEDAD POR ACCIONES SIMPLIFICADA ,B0510 - Extracción de hulla (carbón de piedra),ATLANTICO,2017-12-31,12538725.0,119959833.0,85239593.0,133213345.0,-47973752.0,-1722050.0,,-2439358.0,1520030.0,-47982.0,,,2017,-107421108.0,-202020.0,-47982.0,Grande,,,-2.861766362493073,156.2810664757632,0.10452436191704269,-202020.0,-98029440.48,-47982.0,True,True,True,Pre-pandemia (2017-2019),B0,,122.83196110817572,ATLANTICO,Riesgo alto,85239593.0,0.0,0.0,False
800010983,ORIENTE CONSTRUCTORES S.A.,F4111 - Construcción de edificios residenciales,VALLE,2017-12-31,14660799.0,452795.0,26741529.0,452795.0,26288734.0,874931.0,2389038.0,601354.0,,-1399607.0,,,2017,14208004.0,874931.0,-1399607.0,Mediana,36.62273266477972,25.171386976682662,2.2487644592050064,1.6932277881343285,32.37844720016785,874931.0,14208004.0,-1399607.0,False,False,True,Pre-pandemia (2017-2019),F4,27.61311380598834,-73.32401786227183,VALLE DEL CAUCA,Alerta,26741529.0,0.0,0.0,False
800011002,TECNAS S.A.,C1071 - Elaboración y refinación de azúcar,ANTIOQUIA,2017-12-31,39251737.0,32423218.0,61119078.0,41452503.0,19666575.0,9590736.0,99695679.0,4163298.0,986399.0,11954646.0,3190441.0,,2017,6828519.0,10577135.0,8764205.0,Mediana,10.609421698206198,4.176006464633236,6.811781421179161,67.82252670761821,1.2106058380756655,10577135.0,6828519.0,8764205.0,False,False,False,Pre-pandemia (2017-2019),C1,1.3328692169527372,13.399166578544012,ANTIOQUIA,Sano,61119078.0,0.0,0.0,False
